Function,Mathics3,Category,Example
AbsArgPlot,yes,Complex,"AbsArgPlot[1/(z-1),{z,-2-2 I,2+2 I}]"
Animate,partial,Interactive,"Animate[Plot[Sin[a x],{x,0,2 Pi}],{a,0,3}]"
Animate3D,partial,Interactive,"Animate[Plot3D[Sin[a x y],{x,-2,2},{y,-2,2}],{a,0,2}]"
ArgPlot,yes,Complex,"ArgPlot[1/(z-1),{z,-2-2 I,2+2 I}]"
ArrayPlot,yes,Image,"ArrayPlot[Table[Sin[x y],{x,20},{y,20}]]"
Arrow,yes,Graphics Primitive,"Graphics[Arrow[{{0,0},{1,1}}]]"
AudioPlot,no,Audio,"AudioPlot[Audio[Sin[440 t],{t,0,1}]]"
BarChart,yes,Statistical,"BarChart[{3,5,2,7}]"
BodePlot,no,Specialized,"BodePlot[TransferFunctionModel[1/(s (s+1)),s]]"
BoundaryMeshRegion,limited,Region,BoundaryMeshRegion[Disk[]]
BoxWhiskerChart,partial,Statistical,"BoxWhiskerChart[RandomVariate[NormalDistribution[],20]]"
CandlestickChart,no,Financial,"CandlestickChart[FinancialData[""AAPL""]]"
Circle,yes,Graphics Primitive,"Graphics[Circle[{0,0},1]]"
CommunityGraphPlot,no,Graph,"CommunityGraphPlot[RandomGraph[{20,40}]]"
ComplexPlot,yes,Complex,"ComplexPlot[Exp[I z],{z,-2-2 I,2+2 I}]"
ComplexPlot3D,no,Complex,"ComplexPlot3D[Exp[I z],{z,-2-2 I,2+2 I}]"
ContourPlot,yes,Contour & Density,"ContourPlot[x^2-y^2,{x,-2,2},{y,-2,2}]"
Cuboid,limited,Graphics Primitive,"Graphics3D[Cuboid[{0,0,0},{1,1,1}]]"
DateListPlot,partial,Time Series,"DateListPlot[{{{2020,1,1},1},{{2020,1,2},2}}]"
DelaunayMesh,limited,Region,"DelaunayMesh[RandomReal[1,{10,2}]]"
DensityPlot,yes,Contour & Density,"DensityPlot[Sin[x y],{x,-2,2},{y,-2,2}]"
DiscretePlot,yes,Basic 2D Plotting,"DiscretePlot[n^2,{n,1,10}]"
DistributionChart,partial,Statistical,"DistributionChart[Table[RandomVariate[NormalDistribution[],20],3]]"
FinancialPlot,no,Financial,"FinancialPlot[FinancialData[""AAPL""]]"
GeoGraphics,no,Geo,"GeoGraphics[GeoRange->""World""]"
GeoHistogram,no,Geo,GeoHistogram[RandomGeoPosition[10]]
GeoListPlot,no,Geo,GeoListPlot[RandomGeoPosition[10]]
GeoPlot,no,Geo,"GeoPlot[Entity[""Country"",""France""]]"
GeoRegionValuePlot,no,Geo,"GeoRegionValuePlot[EntityClass[""City"",""UnitedStates""],""Population""]"
Graph,limited,Graph,"Graph[{1->2,2->3,3->1}]"
GraphPlot,no,Graph,"GraphPlot[RandomGraph[10,15]]"
GraphPlot3D,no,Graph,"GraphPlot3D[RandomGraph[10,15]]"
Graphics,yes,Graphics,"Graphics[Line[{{0,0},{1,1}}]]"
Graphics3D,yes,Graphics,Graphics3D[Sphere[]]
Histogram,yes,Statistical,"Histogram[RandomVariate[NormalDistribution[],200]]"
Image,limited,Image,"Image[RandomReal[1,{50,50}]]"
Image3D,no,Image,"Image3D[RandomReal[1,{20,20,20}]]"
ImagePlot,yes,Image,"ImagePlot[RandomReal[1,{50,50}]]"
Inset,yes,Graphics Primitive,"Graphics[Inset[""Hi"",{1,1}]]"
