Function,Mathics3,Git,Category,Example
AbsArgPlot,yes,no,Complex,"AbsArgPlot[1/(z-1),{z,-2-2 I,2+2 I}]"
Animate,partial,no,Interactive,"Animate[Plot[Sin[a x],{x,0,2 Pi}],{a,0,3}]"
Animate3D,partial,no,Interactive,"Animate[Plot3D[Sin[a x y],{x,-2,2},{y,-2,2}],{a,0,2}]"
ArgPlot,yes,no,Complex,"ArgPlot[1/(z-1),{z,-2-2 I,2+2 I}]"
ArrayPlot,yes,no,Image,"ArrayPlot[Table[Sin[x y],{x,20},{y,20}]]"
Arrow,yes,yes,Graphics Primitive,"Graphics[Arrow[{{0,0},{1,1}}]]"
AudioPlot,no,no,Audio,"AudioPlot[Audio[Sin[440 t],{t,0,1}]]"
BarChart,yes,yes,Statistical,"BarChart[{3,5,2,7}]"
BodePlot,no,no,Specialized,"BodePlot[TransferFunctionModel[1/(s (s+1)),s]]"
BoundaryMeshRegion,limited,no,Region,BoundaryMeshRegion[Disk[]]
BoxWhiskerChart,partial,no,Statistical,"BoxWhiskerChart[RandomVariate[NormalDistribution[],20]]"
CandlestickChart,no,no,Financial,"CandlestickChart[FinancialData[""AAPL""]]"
Circle,yes,yes,Graphics Primitive,"Graphics[Circle[{0,0},1]]"
CommunityGraphPlot,no,no,Graph,"CommunityGraphPlot[RandomGraph[{20,40}]]"
ComplexPlot,yes,yes,Complex,"ComplexPlot[Exp[I z],{z,-2-2 I,2+2 I}]"
ComplexPlot3D,no,yes,Complex,"ComplexPlot3D[Exp[I z],{z,-2-2 I,2+2 I}]"
ContourPlot,yes,no,Contour & Density,"ContourPlot[x^2-y^2,{x,-2,2},{y,-2,2}]"
ContourPlot3D,no,no,3D Field & Volume Plots,
Cuboid,limited,yes,Graphics Primitive,"Graphics3D[Cuboid[{0,0,0},{1,1,1}]]"
DateListPlot,partial,no,Time Series,"DateListPlot[{{{2020,1,1},1},{{2020,1,2},2}}]"
DelaunayMesh,limited,no,Region,"DelaunayMesh[RandomReal[1,{10,2}]]"
DensityPlot,yes,yes,Contour & Density,"DensityPlot[Sin[x y],{x,-2,2},{y,-2,2}]"
DensityPlot3D,no,no,3D Field & Volume Plots,
DiscretePlot,yes,yes,Basic 2D Plotting,"DiscretePlot[n^2,{n,1,10}]"
DistributionChart,partial,no,Statistical,"DistributionChart[Table[RandomVariate[NormalDistribution[],20],3]]"
FinancialPlot,no,no,Financial,"FinancialPlot[FinancialData[""AAPL""]]"
GeoGraphics,no,no,Geo,"GeoGraphics[GeoRange->""World""]"
GeoHistogram,no,no,Geo,GeoHistogram[RandomGeoPosition[10]]
GeoListPlot,no,no,Geo,GeoListPlot[RandomGeoPosition[10]]
GeoPlot,no,no,Geo,"GeoPlot[Entity[""Country"",""France""]]"
GeoRegionValuePlot,no,no,Geo,"GeoRegionValuePlot[EntityClass[""City"",""UnitedStates""],""Population""]"
Graph,limited,yes,Graph,"Graph[{1->2,2->3,3->1}]"
GraphPlot,no,no,Graph,"GraphPlot[RandomGraph[10,15]]"
GraphPlot3D,no,no,Graph,"GraphPlot3D[RandomGraph[10,15]]"
Graphics,yes,yes,Graphics,"Graphics[Line[{{0,0},{1,1}}]]"
Graphics3D,yes,yes,Graphics,Graphics3D[Sphere[]]
Histogram,yes,yes,Statistical,"Histogram[RandomVariate[NormalDistribution[],200]]"
Image,limited,yes,Image,"Image[RandomReal[1,{50,50}]]"
Image3D,no,no,Image,"Image3D[RandomReal[1,{20,20,20}]]"
ImagePlot,yes,no,Image,"ImagePlot[RandomReal[1,{50,50}]]"
Inset,yes,yes,Graphics Primitive,"Graphics[Inset[""Hi"",{1,1}]]"
LayeredGraphPlot,no,no,Graph,"LayeredGraphPlot[{1->2,1->3,3->4}]"
Line,yes,yes,Graphics Primitive,"Graphics[Line[{{0,0},{1,1}}]]"
ListContourPlot,no,no,Contour & Density,"ListContourPlot[RandomReal[1,{20,20}]]"
ListDensityPlot,no,no,Contour & Density,"ListDensityPlot[RandomReal[1,{20,20}]]"
ListLinePlot,yes,yes,Basic 2D Plotting,"ListLinePlot[{1,4,2,5,3}]"
ListLinePlot3D,no,no,Basic 3D Plotting,"ListLinePlot3D[{{0,0,0},{1,1,1},{2,1,0}}]"
ListPlot,yes,yes,Basic 2D Plotting,"ListPlot[{1,4,2,5,3}]"
ListPlot3D,yes,no,Basic 3D Plotting,"ListPlot3D[Table[{x,y,Sin[x y]},{x,0,3},{y,0,3}]]"
ListPointPlot3D,limited,no,Basic 3D Plotting,"ListPointPlot3D[{{0,0,0},{1,1,1}}]"
ListStepPlot,yes,yes,Basic 2D Plotting,"ListStepPlot[{1,4,2,5,3}]"
ListStreamPlot,no,no,Contour & Density,"ListStreamPlot[RandomReal[1,{10,10,2}]]"
ListSurfacePlot3D,no,no,Basic 3D Plotting,"ListSurfacePlot3D[RandomReal[1,{20,20}]]"
ListVectorPlot,no,no,Contour & Density,"ListVectorPlot[RandomReal[1,{10,10,2}]]"
MFCCPlot,no,no,Audio,"MFCCPlot[Audio[RandomReal[1,{44100}]]]"
Manipulate,no,yes,Interactive,"Manipulate[Plot[a x,{x,0,1}],{a,0,5}]"
MatrixPlot,yes,no,Image,"MatrixPlot[RandomReal[1,20,20]]"
NumberLinePlot,yes,yes,Specialized,"NumberLinePlot[{1,3,4}]"
NyquistPlot,no,no,Specialized,"NyquistPlot[TransferFunctionModel[1/(s (s+1)),s]]"
ParametricPlot,yes,yes,Basic 2D Plotting,"ParametricPlot[{Cos[t],Sin[t]},{t,0,2 Pi}]"
ParametricPlot3D,yes,no,Basic 3D Plotting,"ParametricPlot3D[{Cos[t],Sin[t],t/4},{t,0,8 Pi}]"
Periodogram,no,no,Audio,"Periodogram[Audio[RandomReal[1,{44100}]]]"
PieChart,yes,yes,Statistical,"PieChart[{3,2,5}]"
Plot,yes,yes,Basic 2D Plotting,"Plot[Sin[x], {x, 0, 2 Pi}]"
Plot3D,yes,yes,Basic 3D Plotting,"Plot3D[Sin[x y],{x,-2,2},{y,-2,2}]"
Point,yes,yes,Graphics Primitive,"Graphics[Point[{1,1}]]"
PolarPlot,yes,yes,Basic 2D Plotting,"PolarPlot[1+0.5 Cos[3 θ],{θ,0,2 Pi}]"
PoleZeroPlot,no,no,Specialized,"PoleZeroPlot[TransferFunctionModel[1/(s (s+1)),s]]"
Polygon,yes,yes,Graphics Primitive,"Graphics[Polygon[{{0,0},{1,0},{0,1}}]]"
Raster,yes,no,Image,"Raster[RandomReal[1,{10,10}]]"
Rectangle,yes,yes,Graphics Primitive,"Graphics[Rectangle[{0,0},{1,1}]]"
RegionFunction (general),limited,no,Region & Geometry Plots,
RegionPlot,yes,no,Region,"RegionPlot[x^2+y^2<1,{x,-1,1},{y,-1,1}]"
RegionPlot3D,partial,no,Region,"RegionPlot3D[x^2+y^2+z^2<1,{x,-1,1},{y,-1,1},{z,-1,1}]"
